,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
72,72,1.0,2026-06-25 19:49:16.214877,2026-06-25 19:49:17.685364,0 days 00:00:01.470487,0.9187607217656268,0.1391428243515886,7,246,0.7009773053628444,COMPLETE
73,73,0.9978630026134454,2026-06-25 19:49:17.685809,2026-06-25 19:49:19.190556,0 days 00:00:01.504747,0.702867521481471,0.24910766188380762,7,264,0.619502441993601,COMPLETE
74,74,0.9830066983712854,2026-06-25 19:49:19.191029,2026-06-25 19:49:20.382604,0 days 00:00:01.191575,0.8212864268543577,0.007768673206246393,6,210,0.9388727738390708,COMPLETE
75,75,0.9994694220636775,2026-06-25 19:49:20.383087,2026-06-25 19:49:21.823839,0 days 00:00:01.440752,0.7812268612218937,0.11690287955184624,8,233,0.7276915062470164,COMPLETE
76,76,1.0,2026-06-25 19:49:21.824275,2026-06-25 19:49:23.091097,0 days 00:00:01.266822,0.8523759296396077,0.297716356484324,6,201,0.7056739468296653,COMPLETE
77,77,1.0,2026-06-25 19:49:23.091560,2026-06-25 19:49:25.273477,0 days 00:00:02.181917,0.6634779644024045,0.07826146663022088,7,216,0.7774566924914301,COMPLETE
78,78,1.0,2026-06-25 19:49:25.273904,2026-06-25 19:49:33.050530,0 days 00:00:07.776626,0.7993147942230647,0.2121862911329121,6,300,0.6628334504896303,COMPLETE
79,79,1.0,2026-06-25 19:49:33.050988,2026-06-25 19:49:38.718431,0 days 00:00:05.667443,0.5725562541980808,0.17737217066294753,4,170,0.7493243903850679,COMPLETE
80,80,0.9918875055614157,2026-06-25 19:49:38.718855,2026-06-25 19:49:41.826085,0 days 00:00:03.107230,0.5485256458937182,0.016212890748266585,5,255,0.7894180230742324,COMPLETE
81,81,1.0,2026-06-25 19:49:41.826512,2026-06-25 19:49:43.682748,0 days 00:00:01.856236,0.735856522191664,0.1005169500686154,5,249,0.8405847863033444,COMPLETE
82,82,1.0,2026-06-25 19:49:43.683195,2026-06-25 19:49:44.653038,0 days 00:00:00.969843,0.7139137086366928,0.06713246461740366,4,195,0.8569717384793845,COMPLETE
83,83,1.0,2026-06-25 19:49:44.653542,2026-06-25 19:49:45.677457,0 days 00:00:01.023915,0.6975108308230339,0.057166350783063355,6,178,0.8761482285124609,COMPLETE
84,84,1.0,2026-06-25 19:49:45.677949,2026-06-25 19:49:46.617158,0 days 00:00:00.939209,0.6735029802964837,0.08448553400504615,5,176,0.950634474452622,COMPLETE
85,85,1.0,2026-06-25 19:49:46.617645,2026-06-25 19:49:47.535267,0 days 00:00:00.917622,0.7517899333618713,0.13666682142117023,4,185,0.7641532078871628,COMPLETE
86,86,1.0,2026-06-25 19:49:47.535694,2026-06-25 19:49:48.607540,0 days 00:00:01.071846,0.6333032263501097,0.16350276037430905,6,163,0.8144432099812665,COMPLETE
87,87,0.9994694220636775,2026-06-25 19:49:48.608027,2026-06-25 19:49:49.540206,0 days 00:00:00.932179,0.595583717268051,0.06535284094610398,7,147,0.9097491776935379,COMPLETE
88,88,1.0,2026-06-25 19:49:49.540729,2026-06-25 19:49:50.869127,0 days 00:00:01.328398,0.6887047720396943,0.11667214277332835,5,279,0.9720861271859528,COMPLETE
